userName,score,at,content
Fenny Phie1017,5,2024-07-06 16:20:02,ok
rac foundation,5,2024-07-06 16:08:42,"Wajib dan cukup Traveloka ada di smartphone kalian gaessss,, simple,murah,nyaman dan yg paling penting nih cs nya pun gercep. Tidak seperti aplikasi lain. Tengkyu"
Teddy raditya,4,2024-07-06 15:49:16,banyakin lagi diskonya
Ipal Fajar,5,2024-07-06 13:37:12,nicee sangat baik
Copy One,5,2024-07-06 12:56:39,😮😮😣😀
Aldi Junaedi,5,2024-07-06 12:04:33,Aplikasinya sangat membantu mantap 👍
prudence of naruhito,5,2024-07-06 11:51:05,The best app
Ray Geop,2,2024-07-06 11:02:59,Maaf nih harus bintang dua karna setelah update malah eror terus nih aplikasinya 😏
Annasya,5,2024-07-06 10:52:40,bagus
Hikmat Pajar (NOBON),5,2024-07-06 09:56:15,Mantap dan dipercaya
Andre Risman,5,2024-07-06 08:54:20,Terbaik
Jemmyco Pratama,1,2024-07-06 08:33:49,"PARAH!!! Tiket ga bisa check-in, nama di sistem maskapai tidak sama dengan nama di tiket, gagal terbang, tiket pulang jg hangus, awalnya ga ad kompensasi, setelah ditanyakan berulang kali, akhirnya dikasih voucher 350K ga sebanding dengan kerugian yang diterima, udah gagal terbang, ga bisa mengikuti kegiatan yang udah dijadwalkan, tiket pulang hangus (refund normal dengan potongan)"
Siti Sahra Ramadhani,1,2024-07-06 06:25:05,"Infonya bisa reschedule tp biaya nya setengah harga, padahal di deskripsi tertulis gratis. Waw"
Nur Hayati Aulia,5,2024-07-06 06:10:55,"Sangat puas dengan aplikasi ini, sangat membantu setiap pembelian tiket pesawat, pelayanannya sangat cepat, dari konfirmasi pembayaran hingga terbit e-tiket"
Lilis Imas Maesaroh,5,2024-07-06 06:04:41,"Pesan tiket lewat traveloka mudah banget gak pake ribet, dapat poin lagi dan banyak promonya 👍"
Aman Simangunsong,1,2024-07-06 05:59:21,refund ga ngotak sampe 50 % harusnya kalau ada refund mandiri konfirmasi dulu ke yang mesan jangan langsung di okekan
myborn Way,5,2024-07-06 05:08:26,"praktis dan mudah,, sangat puas dengan pelayananx"
rian dk,4,2024-07-06 04:19:15,"Maskapai mereschedule penerbangan sampai 2 hari kedepan dengan pemberitahuan kurang dari 24 jam penerbangan, jika mmng tidak pasti. Mending hapus saja jadwal penerbanganya. Dan proses refund sudah di ajukan dan sangan lama dan bertele-tele. Dan tidak ada kepastian sampai dengan sekarang proses refund trsbut..."
Suhanny Habsi Umusli,1,2024-07-06 04:11:58,"Gk puas yg error aplikasi ke pesan 2x kmar hotel, ke tarik tagihan dri credit card, customer service nya gk bagus. Maaf kecewa"
Moktar Abidin,5,2024-07-06 03:09:07,Wwconm Moktar
the kadalz,1,2024-07-06 02:41:34,"Member gold limit 30 juta diblokir permanen hanya karena telat bayar aja Makasih 7 tahun sudah menemani Tim analisis bgst kalau punya otak 30 jt itu bkn uang sdkit untuk mencapai level tersebut, minimal turunin limit masih wajar bukan diblokir seumur hidup Analisis bdh"
Wahyu Aji,3,2024-07-06 02:40:36,"Kenapa saya mau refund tiket hotel tidak bisa,"
Deva & Tiff by Purwa,1,2024-07-06 02:29:34,"Saya suka heran sama algoritma harga di traveloka, banyak sekali menampilkan harga murah, ending nya saat mau di check out harga berlipat mahalnya. Belum lagi kalau mau bayar dengan paylater, nambah ga jelas hitungan nya. Sebagai pengguna traveloka dari dulu, saya sangat kecewa."
FauzanNugrahaKaisyinda,1,2024-07-06 00:15:22,Ke Jepang? Oh ya masih Males Karena Jepang itu tidak enak Tempat Tinggal Lama Kata Orang Di Google.Enak Tinggal Palembang Sama Orang Tua
M. Imam Setiyawan,5,2024-07-05 22:29:45,Ok
Gyyat no,5,2024-07-05 20:58:23,Good
zikriii,5,2024-07-05 15:23:07,sangat membantu dan memudahkan pekerjaan saya
Deri Permadi,1,2024-07-05 14:12:37,"Traveloka banyak penipuan, hotel yg dipesan tidak ditemukan Aplikasi sangat mengecewakan.... Terutama di Pekanbaru"
Sri Hartati,4,2024-07-05 13:42:59,sangat baik
Maulida Norkholifah,1,2024-07-05 12:31:04,Gila gak bisa refund sama sekali padahal sudah pake asuransi penipuan nih aplikasi!
Andrys Parapat,5,2024-07-05 11:00:17,Ok
Nais Syabanisah,2,2024-07-05 10:55:58,"Sayang banget sekarang gak bisa beli tiket bioskop dari traveloka. Kalo gak salah udah 2 tahunan menu bioskop gak pernah muncul lagi di apk traveloka-ku, padahal dulu kalo mau nonton, beli tiketnya pasti dari traveloka 😌"
Baliduta Pertiwi,1,2024-07-05 10:26:46,Traveloka adakan penipuan dimana ada saya sudah mengirim dana untuk pemesanan hotel dimalang ternyata traveloka tidak bisa menerbitkan voucher hotel
Rap Ry,1,2024-07-05 10:09:16,Setiap ulasan Hotel / penginapannya tidak sesuai dengan realita nya
PENGOBATAN CAKMU ALKHER,5,2024-07-05 09:20:14,ok
Maya Arisa,1,2024-07-05 08:54:14,"Traveloka taik, 5 jam sya menunggu di hotel tapi kode vocer nya GK di kasih2. Uang pun sudah diambil, aplikasi sampah penipu, kembalikan uang saya!!!!"
Budi Santoso,5,2024-07-05 08:06:38,Mantap
Khairul Umuri,5,2024-07-05 05:11:27,good
Priyo Baru,5,2024-07-05 03:37:36,bagus banget
Camelia Bwi,5,2024-07-05 03:13:23,cepat
